AIRPORT NAME,RATED,ACCREDITED,LEVEL,RANKED,ISO 14001,ISO 14064,ISO 50001,ISO 9001,ISO 9000,ISO 10002,ISO 31000,ISO 41001,ISO 45001,ISO 50501,ISO 26000,ISO 22301,ISO 20000,Environment Monitoring Centre,Air Quality,Water Quality,Wastewater,Solid Waste,Fluid Waste,Pollution,Deicing,Noise,Energy,Emissions,Climate Change,Material Purchase Database,Revenue (million USD),Aircraft Movements,Passengers (million),Cargo (ton),Employees,Solar,Electric,Wind,Optimization,Replcement LED,(mostly seawater and treated wastewater),Rain Water,Treatment,Metering,Fixtures (Opt),People Affected,CO2 saved (tonnes),GHG/Passenger,Total carbon emission,GHG Scope 1 (ton),GHG Scope 2,Scope 1 + 2,GHG Scope 3,GHG Total,Waste Generated/Passenger,Hazardous Waste processing,Waste Reused/Recycled,Waste Recycling Rate,Waste Generated,Sewage Volume (m3),Sewage treated/recycled (m3),Wastewater Generated (m3),Wastewater recycled (m3),Water use/passenger (L),Electricty Usage (KWh),Electricity usage/per passenger,RE Electricity Generated (KWh)
Hong Kong International Airport,,1,3,,1,,1,,,,,,,,,,,1,1,1,1,1,,,,1,1,1,,1,,423000,73.6,5100000,2314,,,,,,0,,,,,2502,,1.31,,"9,590","150,740",,480,"160,810",,,"2,002",8.70%,,,,,"201,000",,"293,595,000 kWh",4,
Athens International Airport,,1,,,1,,1,1,,,,,,,,,1,1,1,1,,,,,,1,,,1,,531.14,217100,24.1,92600,740,,,,,,18.17,,1,,,25,,1.6,,3462,"35,490","38,952",,"38,952",2,,"32,174",,"38,787",,,"378,000","3,000",27,"58,276,600",5,"12,948,400"
Auckland Airport,1,,,1,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,169245,19.422,7848097,20000,,,,,,12.1524,1,1,,,0,,0.41,,,,,,,0.14,,,44%,1022,,,,,11.8,,1.79,
Austin-Bergstrom International Airport (ABIA),1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.764968,"111,614",12.4,,400,,1,,,,9.922,,,,,,,,,,,,,,,,686,,"2,098",,,"32,503,900",,,,,
Beijing Capital International Airport,,1,2,,1,,,,,1,,,,,1,,,1,1,,,,,1,,1,1,1,,1,1240.32,"606,000",94.39,1943000,1623,,,,,1,,1,1,,,1605,,,"242,318.59","1,247.15","227,318.59",,,,,,"2,000.00",,"37,150.00",,"8,400,000.00",,,,"610,000.00",6.40,"110,000.00"
Brisbane Airport (BNE),1,1,3,,1,,,,,,1,,,,,,,,-,,,1,,,,1,,,1,,777,"210,306",23.5,"190,535",,1,,,,,40,1,1,,,,,,,"1,262","40,740","42,002",,,,,,23.50%,2431,,,,"321,000",,,2,"338,000"
Brussels Airport,,1,3+,,1,,1,,,,,,,,,,,1,1,,,1,,1,,1,1,,1,,,"235,459",26,,"20,000",,1,,,,10,1,1,,,"14,948",,,"15,000",,,,,,,,,22.97%,2412,409000,,,,,"780,000",,"3,073,000"
Budapest Ferenc Liszt International Airport,,1,3+,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,294.76,86682,9.155961,89987,3000,,,,,,,,,,,,,,,,,,,113.8,,,,76%,1700,,,,,,,,
Christchurch International Airport,,1,2,,,,,,,,,,,,,,,,1,,,1,,,,1,1,1,,,,"70,297",7.3,,6000,,,,1,,0.69,,,1.00,,12.00,,,,,,"3,314.30",,70.70,0.10,,45.40,55%,,,,,,10.38,,,
Dallas Fort Worth International Airport,,1,3+,,,,,,,,,,,,,,,1,1,,,,,,1,1,,1,,1,425,657000,73,"910,500","1,996",1,,1,,,,,1,1,1,,,,"45,000",,,,,,,,,45%,,,,,,64.32,,,
Edmonton International Airport,,1,1,,,,,,,,,,,,,,,1,1,1,,1,,,,1,1,1,,1,,"138,981",8,,,,,,,1,,,,,,,,,,,,"45,075",,,,,,,,,,,,,,,
Hartsfield‐Jackson Atlanta International Airport,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,,1,668.71,937104,90.788019,669190,,,,,,,10.89,,,,,227,,0.006,,,,,,1300525,0.24,,,,23133,,,,,10.71,292236544,3.528,
London Heathrow Airport,,1,3,,1,,1,,,,,,1,,,,,1,1,,,,,,,1,,,1,1,,"480,339",80,"170,000",,,,1,,,,1,,,,"2,775",,,,"28,702","198,889",,"2,018,107","2,245,698",,,"26,233",39.70%,,,,,,,"467,000,000",,
Incheon International Airport,1,1,3,,1,,1,,1,,,,,,1,,,1,1,1,,,,,,1,,,,,,387497,68.259763,4113846,70000,,,,,,35.22,,,,,,,,,2813100.00,213536.00,,1225067.00,4251703.00,,,,62.00%,45164.00,6062198.00,,,3436549.00,,"617,222,222",9.04,
Indiana Polis International Airport,1,1,3,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,5400,52195,730,,"10,170",1,,,,,,,,,,,,,,,,,,,,,,87.00%,2300,,,,,,,,
Kraków John Paul II International Airport,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,1,,,,1,32.87,"46,264",6,"3,242,000",615,,,,1,,12,,1,,,91,,,,,,,,"797,703",,,42,,"8,161","101,409",,,,,,,
Malta International Airport,,1,1,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,1,,81.07,42987,6,"16,177,065","15,300",,,,,,24,1,,,,,,,"9,962",164,"9,762",,,,,,79,,"459,960",,,,,,"12,699,947",3,"202,073"
Chhatrapati Shivaji Maharaj International Airport (CSMIA),1,1,3+,,1,1,1,,,1,,,,,,,,,1,1,1,1,1,,,1,1,1,,,500.24,332512,48.5,1000000,7089,1,,,,,28.86,,,,1,,,,,4015.09,98129.46,,422515,,,,3343.16,34.00%,9951.75,,,870000,"700,000",,"432,607,320",3,
Munich International Airport,,1,3,,1,,1,,,,,,,,,,,1,1,1,1,,,,,1,,1,,,1631,"383,900",44.6,"378,803","9,413",,,,,,,,1,,,,,3,"152,059","88,668","17,237",,"46,154",,,,"6,739",,432,,,"2,336,313",,,,,"800,000"
Václav Havel Airport Prague,,1,3,,1,,,,,,,,,,,,,1,1,1,,,,,,1,,1,,,,149000,15.4,,"3,704",,,,,,23,,1,,,73,"5,100",,,,,,,,,,,,"5,130",,"166,775",,,,,,
San Diego International Airport,,1,3+,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,1,181.637882,"187,322",17,"152,452","3,953",,,,1,1,14,,1,,,"22,714",,,,,,,,,,213,"1,052",,"6,550",,,,,,,,
Sydney Airport,1,1,3,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,344149,44.4,,,,,,,,18,,,,,,,,,,,,,,,,,42.90%,5504,,,,,27.87,,,
Tallinn Airport (TLL),,,,,1,,,1,,,,,,,,,,1,1,,,,,1,,1,,1,1,,48.6,"48,568",3,"11,518","2,800",,,,,1,11,1,,,,3,,,,,,,,,,7,204,,"34,285",,,,,,"18,300,000",6,
Toronto Pearson International Airport,,1,3,,1,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,"1,285.60",456400,44.3,"472,300","1,500",,,,1,,,1,,,,"53,135",,,,,,,,,,,,74%,,,,,,,"296,309,000",,
Vienna International Airport (VIE),,1,3,,1,,,1,,,,,,,,,,1,1,,,,,1,,1,1,,1,,835.71,"224,568",24.4,"287,962","5,772",,,,1,1,17,,,,1,"4,389",,,,"8,455","45,732",,"322,735tons","376,922",0,151,,,,,,"371,511",,,,4,"50,000,000"
